ano,mes_num,mes_nome,segmento,quantidade_mes
2023,11,Novembro,Motos,130469
2023,11,Novembro,Implementos Rodoviários,7606
2023,11,Novembro,Outros,10488
2023,11,Novembro,Total Geral,361206
2023,12,Dezembro,Autos,187751
2023,12,Dezembro,Com. Leves,48846
2023,12,Dezembro,Autos + Com. Leves,236597
2023,12,Dezembro,Caminhões,10068
2023,12,Dezembro,Ônibus,1877
2023,12,Dezembro,Caminhões + Ônibus,11945
2023,12,Dezembro,Subtotal (A a D),248542
2023,12,Dezembro,Motos,132752
2023,12,Dezembro,Implementos Rodoviários,7874
2023,12,Dezembro,Outros,10850
2023,12,Dezembro,Total Geral,400018
2024,1,Janeiro,Autos,118507
2024,1,Janeiro,Com. Leves,33555
2024,1,Janeiro,Autos + Com. Leves,152062
2024,1,Janeiro,Caminhões,7993
2024,1,Janeiro,Ônibus,1546
2024,1,Janeiro,Subtotal (A a D),161601
2024,1,Janeiro,Motos,143327
2024,1,Janeiro,Implementos Rodoviários,7072
2024,1,Janeiro,Outros,10505
2024,1,Janeiro,Total Geral,322505
2024,2,Fevereiro,Autos,120315
2024,2,Fevereiro,Com. Leves,34968
2024,2,Fevereiro,Autos + Com. Leves,155283
2024,2,Fevereiro,Caminhões,8200
2024,2,Fevereiro,Ônibus,1723
2024,2,Fevereiro,Caminhões + Ônibus,9923
2024,2,Fevereiro,Subtotal (A a D),165206
2024,2,Fevereiro,Motos,136285
2024,2,Fevereiro,Implementos Rodoviários,7474
2024,2,Fevereiro,Outros,10368
2024,2,Fevereiro,Total Geral,319333
2024,3,Março,Autos,137889
2024,3,Março,Com. Leves,38093
2024,3,Março,Autos + Com. Leves,175982
2024,3,Março,Caminhões,9701
2024,3,Março,Ônibus,2046
2024,3,Março,Caminhões + Ônibus,11747
2024,3,Março,Subtotal (A a D),187729
2024,3,Março,Motos,152670
2024,3,Março,Implementos Rodoviários,7559
2024,3,Março,Outros,10839
2024,3,Março,Total Geral,358797
2024,4,Abril,Autos,164365
2024,4,Abril,Com. Leves,43713
2024,4,Abril,Autos + Com. Leves,208078
2024,4,Abril,Ônibus,2182
