ano,mes_num,mes_nome,segmento,tipo_venda,rank,fabricante,quantidade_mes,participacao_pct
2022,2,Fevereiro,Caminhões,Total,13,SINOTRUK,1,0.01
2022,2,Fevereiro,Motos,Total,1,HONDA,54563,73.67
2022,2,Fevereiro,Motos,Total,2,YAMAHA,13810,18.65
2022,2,Fevereiro,Motos,Total,3,SHINERAY,1247,1.68
2022,2,Fevereiro,Motos,Total,4,BMW,724,0.98
2022,2,Fevereiro,Motos,Total,5,KAWASAKI,647,0.87
2022,2,Fevereiro,Motos,Total,6,ROYAL ENFIELD,528,0.71
2022,2,Fevereiro,Motos,Total,7,VOLTZ,522,0.7
2022,2,Fevereiro,Motos,Total,8,AVELLOZ,465,0.63
2022,2,Fevereiro,Motos,Total,9,HAOJUE,345,0.47
2022,2,Fevereiro,Motos,Total,10,DAFRA,319,0.43
2022,2,Fevereiro,Motos,Total,11,TRIUMPH,302,0.41
2022,2,Fevereiro,Motos,Total,12,H.DAVIDSON,107,0.14
2022,2,Fevereiro,Motos,Total,13,SUZUKI,61,0.08
2022,2,Fevereiro,Motos,Total,14,DUCATI,49,0.07
2022,2,Fevereiro,Motos,Total,15,SOUSA,39,0.05
2022,2,Fevereiro,Motos,Total,16,BULL,38,0.05
2022,2,Fevereiro,Motos,Total,17,KYMCO,35,0.05
2022,2,Fevereiro,Motos,Total,18,JIANSHE,34,0.05
2022,2,Fevereiro,Motos,Total,19,TRAXX,30,0.04
2022,2,Fevereiro,Motos,Total,20,KTM,21,0.03
2022,2,Fevereiro,Motos,Total,21,ATMAN,19,0.03
2022,3,Março,Autos,Total,1,GM,16637,15.37
2022,3,Março,Com. Leves,Total,1,FIAT,14376,53.92
2022,3,Março,Autos,Total,2,FIAT,14605,13.49
2022,3,Março,Com. Leves,Total,2,TOYOTA,3972,14.9
2022,3,Março,Autos,Total,3,HYUNDAI,14080,13.01
2022,3,Março,Com. Leves,Total,3,GM,2571,9.64
2022,3,Março,Autos,Total,4,TOYOTA,13023,12.03
2022,3,Março,Com. Leves,Total,4,MITSUBISHI,1095,4.11
2022,3,Março,Autos,Total,5,VW,12417,11.47
2022,3,Março,Com. Leves,Total,5,FORD,1047,3.93
2022,3,Março,Autos,Total,6,JEEP,10351,9.56
2022,3,Março,Com. Leves,Total,6,RENAULT,880,3.3
2022,3,Março,Autos,Total,7,RENAULT,7501,6.93
2022,3,Março,Com. Leves,Total,7,NISSAN,618,2.32
2022,3,Março,Autos,Total,8,HONDA,4692,4.33
2022,3,Março,Com. Leves,Total,8,VW,341,1.28
2022,3,Março,Autos,Total,9,NISSAN,3418,3.16
2022,3,Março,Com. Leves,Total,9,PEUGEOT,340,1.28
2022,3,Março,Autos,Total,10,CAOA CHERY,3171,2.93
